"email","password_hash","role","full_name","gender","student_code"
"mao.rithy.7a@school.edu","$2a$10$QpGAce/ZINwMAbehWfu7q.YJAeaYaPypW/pl3CHJg9MOzYA5jQgKa","student","Mao Rithy","male","CMS100151"
"lay.rithy.7b@school.edu","$2a$10$Vs6k4g7NlSJH14bPWRz1SuXo.iC5TaFLnRbmf5JLhKMtdOPRWlpKe","student","Lay Rithy","female","CMS100152"
"vannak.rithy.7c@school.edu","$2a$10$AeDjf3lpkLEhKOGxWfTsz.AxphSKuOHSaMOcj4x1Wtq0DRyFzJT1i","student","Vannak Rithy","male","CMS100153"
"sreypov.rithy.7d@school.edu","$2a$10$ccmzv6pPwBreKHyZKyVCj.fvLetIdsFQWu8VjMMVIU6RTeNppstIW","student","Sreypov Rithy","female","CMS100154"
"rith.rithy.7e@school.edu","$2a$10$D2xbG3/HGR8hEnnK7riIlO6X5H.4OIsugyYtHbQ1i0bq2XnuQaWmu","student","Rith Rithy","male","CMS100155"
"borey.rithy.7f@school.edu","$2a$10$Fg1cBAlOI7LhGv6P3zslquleq8OOClssemmU.nfJQ9wN.tHggwtJC","student","Borey Rithy","female","CMS100156"
"visal.rithy.7a@school.edu","$2a$10$dvEzjyPrsL8AhISEFgdDseGdPJPZP5Hdwty/ZMROiYivdVARzi3yK","student","Visal Rithy","male","CMS100157"
"malis.rithy.7b@school.edu","$2a$10$NEzEBs7YcFQQWhdBDcHH7O42zOgUxQRN5nsDAhOIJXbSLVwu9PexG","student","Malis Rithy","female","CMS100158"
"rattanak.rithy.7c@school.edu","$2a$10$If/lIZTfrtCfcQl/ihwoCO8NkO5oFS1lwcs8d29ZkDAcwsrT5vFCG","student","Rattanak Rithy","male","CMS100159"
"sothea.rithy.7d@school.edu","$2a$10$gJG7yuZlHIrhEINz.gE5Y.wyQbqzuf/Slp4tEgPDP6Nvct9mdvkOS","student","Sothea Rithy","female","CMS100160"
"sok.sreynich.7e@school.edu","$2a$10$1IyxkUA/XDY2P7jYX.a67uSpicHtoVvEA/NTWxEAXl99wNwMFS6/K","student","Sok Sreynich","male","CMS100161"
"chan.sreynich.7f@school.edu","$2a$10$uypDkzhiSKcoln8IxanPteFKpRiDDOU0jPxb4m9bgl5bmqe068SOm","student","Chan Sreynich","female","CMS100162"
"lim.sreynich.7a@school.edu","$2a$10$1O8ZVzZYGwn9DxlULtLmPOYXYYrx6Bp/Ne2cjZBWYKuspGEtzqOr6","student","Lim Sreynich","male","CMS100163"
"keo.sreynich.7b@school.edu","$2a$10$IPQVx47Am8kKyG3lPDONOePZ7wy6Rey4Rq7RKUf8d5vuwUG6VX3iy","student","Keo Sreynich","female","CMS100164"
"phan.sreynich.7c@school.edu","$2a$10$vzXwjHWUflu4r4CG1U6NBeUtBiQYFkBnwwMCl9eRb9WBRNd6jtcoS","student","Phan Sreynich","male","CMS100165"
"meas.sreynich.7d@school.edu","$2a$10$5fCMQ/3ZGwOR9qdPf8LErOkqnyNWxzVNd8GXreEYllEsOp8pK/b9q","student","Meas Sreynich","female","CMS100166"
"ouk.sreynich.8e@school.edu","$2a$10$ztDeOBeJbk15CxRxogaS.eAL327jhSN2zWc9G5Hwx9bGHdGaMy19K","student","Ouk Sreynich","male","CMS100167"
"chhim.sreynich.8f@school.edu","$2a$10$RXf9zKRpyoEVOb4lLBm9Je3Roh6bS.GDaGF7Q2fYS0MjREi4/9WgK","student","Chhim Sreynich","female","CMS100168"
"yin.sreynich.8a@school.edu","$2a$10$Q/m7HKl.F8kfQrkP5CLXpuW0ohlHaWq1qmbP9bsvgALZbEek8hHaG","student","Yin Sreynich","male","CMS100169"
"touch.sreynich.8b@school.edu","$2a$10$SMpSGKq9tfDdxwvQVvf9bOkFqnoXPrqkE./x45pppSu5QQdxwpAiy","student","Touch Sreynich","female","CMS100170"
"ngov.sreynich.8c@school.edu","$2a$10$G5ekOOz6fCfHeRIl2bJaGO58w0mtCXnNk92CmtaZq1jtLEL5HDq.C","student","Ngov Sreynich","male","CMS100171"
"suon.sreynich.8d@school.edu","$2a$10$HGVrky6J4cotaRfOSrr.4ev8MWEohVLHt6x0WVz9ZDqVv/1t/4Z4u","student","Suon Sreynich","female","CMS100172"
"prak.sreynich.8e@school.edu","$2a$10$.9J1LNsY3dJWu0q/5A9xNu7WiwxB27I9oXyZaOknS34xiNCU08mPi","student","Prak Sreynich","male","CMS100173"
"kim.sreynich.8f@school.edu","$2a$10$nn0uWToWZ6UxYM/sP8iWj.9GRnPpzQC36eA6zE0ZFXEeDPsIqtcmG","student","Kim Sreynich","female","CMS100174"
"chhay.sreynich.8a@school.edu","$2a$10$KL1eqa3mhxktXSIMyR5CvO5Ojzik21r0fkhP4PPiq2UYhvS2Wt/6q","student","Chhay Sreynich","male","CMS100175"
"nou.sreynich.8b@school.edu","$2a$10$oJTMhEGjLI4EQCUFdaNXwuQzDd3QGBkyKzadIKXWKzAzxL3eeMV5W","student","Nou Sreynich","female","CMS100176"
"heng.sreynich.8c@school.edu","$2a$10$H4j5x9hefgDnzHZZUMPlt.nUj14BkRD93ZiKL.LZdSrbLw2JNv7dS","student","Heng Sreynich","male","CMS100177"
"pen.sreynich.8d@school.edu","$2a$10$B8ifWheeCT/LySZBegMINOX6glP.6CmTElm4rZxF.dmHkNsPJ/eP.","student","Pen Sreynich","female","CMS100178"
"sam.sreynich.8e@school.edu","$2a$10$SkaV9RWntCAncjzJQZMhZ.Qbgi4jF1SrvE9ZdBBtZOFLlDJxNanyi","student","Sam Sreynich","male","CMS100179"
"korng.sreynich.8f@school.edu","$2a$10$X60U2CC1Hj9rkbI3p00DKeTQGEqBz6OqX4u4/NA5efkKuNj9.AMM.","student","Korng Sreynich","female","CMS100180"
"ros.sreynich.8a@school.edu","$2a$10$QTQ3J.8UaQMlK6PBMJtyQOaZ9uXmJXN1DeayNW3Q1xrj7.QMXXD3m","student","Ros Sreynich","male","CMS100181"
"chin.sreynich.8b@school.edu","$2a$10$BvXgDa7BbMVxpdPFT8D1JuYZlLam2h8aCTjkX1FttSx1DAFNCkeGm","student","Chin Sreynich","female","CMS100182"
"mao.sreynich.8c@school.edu","$2a$10$xAiNefsekJ1hnHfWH9VLc.mCfgpCG2INviJbhXzdsEeiP96nzWVqe","student","Mao Sreynich","male","CMS100183"
"lay.sreynich.8d@school.edu","$2a$10$qws4IlnnDDXiL/r4HAGk3eoKavcboR0/VNRUj2NRnIrKcgcBLLQ2C","student","Lay Sreynich","female","CMS100184"
"vannak.sreynich.8e@school.edu","$2a$10$25//pyOXA/kNeeoa6kyzSeYRXaXXNidJmn34v7YvMkNmGQ7gdlPtq","student","Vannak Sreynich","male","CMS100185"
"sreypov.sreynich.8f@school.edu","$2a$10$D9sNQk8.ys8d/JAaMA0qr.9bTrYdC5U9b60jbIeX9Yj.l1YiYMDrG","student","Sreypov Sreynich","female","CMS100186"
"rith.sreynich.8a@school.edu","$2a$10$7FNppkkKGiLc57izfH8RLuj1C3kfkXe3oaRTCgjOxTyhSvSmDBwwm","student","Rith Sreynich","male","CMS100187"
"borey.sreynich.8b@school.edu","$2a$10$LVB69xu2i9pxd3cdrrmtBOYHTW.m9dic2CqNdOzrJ2XKOMj/gfbCa","student","Borey Sreynich","female","CMS100188"
"visal.sreynich.8c@school.edu","$2a$10$I1IC22QQEQNiFZ7w.nmip./8Mqa6ZlOIjG2OjFNQ7t/WTakYOxb4e","student","Visal Sreynich","male","CMS100189"
"malis.sreynich.8d@school.edu","$2a$10$4dpg.EuGG2pJ5OMloisn0uKEtIM3fvZ9Gu70B4oq1j1s9fRFDzc6e","student","Malis Sreynich","female","CMS100190"
"rattanak.sreynich.8e@school.edu","$2a$10$tQLYJDIvZ6HjQ0yK/ra5FeqSzu.rj7kzvFZx/7wkXtWuZ1yxIookm","student","Rattanak Sreynich","male","CMS100191"
"sothea.sreynich.8f@school.edu","$2a$10$q80JmaNrUgp.6DuQ7uJhPuCONRKRKgZTfBna0XevivqiLW.3cIjEe","student","Sothea Sreynich","female","CMS100192"
"sok.piseth.8a@school.edu","$2a$10$uf3V24kSV3ATyVzKFhlvwu/sijB9RDHyo4T.0AhMkN1KuOxg/o4qu","student","Sok Piseth","male","CMS100193"
"chan.piseth.8b@school.edu","$2a$10$9WhHPRcbHcMVAkk5u66LVeX/I.eSELfEgsK.ngowIoT5yG6NGQLa6","student","Chan Piseth","female","CMS100194"
"lim.piseth.8c@school.edu","$2a$10$4LLP065G3Nb84DtyFgw09.4bOHNehPPbJAqdf2UJgw./hqfKhZtzq","student","Lim Piseth","male","CMS100195"
"keo.piseth.8d@school.edu","$2a$10$mNVCCv42dETediCzAjnaK.8tb1M3SSX043BdUyLVKQJhpqV1g0dJe","student","Keo Piseth","female","CMS100196"
"phan.piseth.8e@school.edu","$2a$10$sV.OTJZQSin6oTn922SKcOcxcyHjfPNFu/WAyFWCcs6clFl7jR4jS","student","Phan Piseth","male","CMS100197"
"meas.piseth.8f@school.edu","$2a$10$.IwkSde1cj9JXJU.4QfiwOlhPaw1/.XDifVXKI1kGt0oMgS/e5aTi","student","Meas Piseth","female","CMS100198"
"ouk.piseth.8a@school.edu","$2a$10$TD8W9NIVibYcYzRvj65QAuyVukSr2jWFRAGDUtuEFKadZ47S4QuUe","student","Ouk Piseth","male","CMS100199"
"chhim.piseth.8b@school.edu","$2a$10$4h3Jzd7YBtqhx5iFGCy9Ru2MMByo.3edL3.oIcRjRLvItL2qY9lu.","student","Chhim Piseth","female","CMS100200"
"yin.piseth.8c@school.edu","$2a$10$eYcNEHXenHwOPpNxedjeEe3fNPSy81BNJg0paRTQ8VlwcnQSJlZuq","student","Yin Piseth","male","CMS100201"
"touch.piseth.8d@school.edu","$2a$10$tpMiQ5Y.484I15u1R.Llsune7gHV./kkIULq6EH2A2PGPwBjXR8Cm","student","Touch Piseth","female","CMS100202"
"ngov.piseth.8e@school.edu","$2a$10$hwAzZSPbvE/.WhzBrSvFMO6MNVnr8uaVG6wDvVvXyTu..E7OaHDf6","student","Ngov Piseth","male","CMS100203"
"suon.piseth.8f@school.edu","$2a$10$Z2BUpqNl7BWVVwQ/k7Jbsu.sADpPV3iBZpMZWpgwvDcyv0qMAfPuq","student","Suon Piseth","female","CMS100204"
"prak.piseth.8a@school.edu","$2a$10$ust5uR/k.dtLgRcITSb5redlY9BrHj0HVCldERRAGJNVk8JMi1cAy","student","Prak Piseth","male","CMS100205"
"kim.piseth.8b@school.edu","$2a$10$YqgvCu7qJtG9ph9ivw8wmOwMinUEjvPjkDKqir2ZZRdpPgj9PqmXK","student","Kim Piseth","female","CMS100206"
"chhay.piseth.8c@school.edu","$2a$10$e/nUD.Rho.Pbr0f/z/bp4upRlq00Xm2a8rmauwS2ssyfJGpWCfqOm","student","Chhay Piseth","male","CMS100207"
"nou.piseth.8d@school.edu","$2a$10$bdf1xkukCQmu7gc9W07w9eOo/0cXGhURuQuNXdoH/VzQ4ba92GdUW","student","Nou Piseth","female","CMS100208"
"heng.piseth.8e@school.edu","$2a$10$8DnJDFoYzZ0qyaUhSCjNluoj/AKKNzHcKyRlXf3PUqBXATPXnCJWi","student","Heng Piseth","male","CMS100209"
"pen.piseth.8f@school.edu","$2a$10$wirFzUZRgjB.4vXf9FyG..suALxp5koPYALnRRPdJiObF06dVWQW6","student","Pen Piseth","female","CMS100210"
"sam.piseth.8a@school.edu","$2a$10$Uhjg.j2gix7Hvr4ytmvb4.cw0DkgJWfBBWkCu8j5VkVhlrYJdd98y","student","Sam Piseth","male","CMS100211"
"korng.piseth.8b@school.edu","$2a$10$6TZ0t2wpyESUiWxQ4QYuFO9Ag6NY38vSk7/nr0nBQ0TmmZFjySpgy","student","Korng Piseth","female","CMS100212"
"ros.piseth.8c@school.edu","$2a$10$CIA1I15MCXEtvL1qpkOnWeexXoB3I3hUmustO4xfcPmtslm7Z60zW","student","Ros Piseth","male","CMS100213"
"chin.piseth.8d@school.edu","$2a$10$jzPEi5lk5T3thqq.SExKv.v3W4aqMM2BJAOQ2K/lbzs00.OEbxgem","student","Chin Piseth","female","CMS100214"
"mao.piseth.8e@school.edu","$2a$10$L95Cy4/9i8o7PTOTXLxgsebvVXfwqBEcD7LYknDjRgNQ6wY9SPH3a","student","Mao Piseth","male","CMS100215"
"lay.piseth.8f@school.edu","$2a$10$Xy/rXgVIzcsq0UKi/Ef3R.qsTYuXgkZbqj695Q0416/V0B6gN2qdm","student","Lay Piseth","female","CMS100216"
"vannak.piseth.8a@school.edu","$2a$10$LgC6x6rAIWFL86QZIpwH/.jqiHMOy3LNn4ImM5eCJvH1/AGmuls6m","student","Vannak Piseth","male","CMS100217"
"sreypov.piseth.8b@school.edu","$2a$10$M4cELMo8UpQeiOAoW7A8Les13.LR3Lwmg5WpJgMZN1/qaqjxMhmfO","student","Sreypov Piseth","female","CMS100218"
"rith.piseth.8c@school.edu","$2a$10$8Cn0bHj1KsLdAFDsgeFWfeb/Im8rdzJgmanRiud6oQmwCcn/ZKaYG","student","Rith Piseth","male","CMS100219"
"borey.piseth.8d@school.edu","$2a$10$iZ72HWKanjxHqACgVre8uOwrd1j5MYhBUSOQQPyC9vjK0TY1qp3Xa","student","Borey Piseth","female","CMS100220"
"visal.piseth.8e@school.edu","$2a$10$Kq8m/tSbxSPB6uh1.ja4R.LO7N8h36XfBAPsM8iUoWfUObR19sxmy","student","Visal Piseth","male","CMS100221"
"malis.piseth.8f@school.edu","$2a$10$yMvpUsaJ2LKtZEpFFmzq5.L1EIE4aRSUbHs.9EnsQFKArXL6dZQke","student","Malis Piseth","female","CMS100222"
"rattanak.piseth.8a@school.edu","$2a$10$E08pa6O2ENh63vLSnZhI9uqazzk3Q6nXLJ8CQd4Y3a8/w//poIUka","student","Rattanak Piseth","male","CMS100223"
"sothea.piseth.8b@school.edu","$2a$10$QuI4NgxsnL4UepSASPRwAucVj22r6tkppLDiLH8nGimbi76OrwTce","student","Sothea Piseth","female","CMS100224"
"sok.davy.8c@school.edu","$2a$10$ZfumrKAqzgvoCdbDKbbB4OfGN7vrMxteGlkAPg7HR0IA6GEWoGTsi","student","Sok Davy","male","CMS100225"
"chan.davy.8d@school.edu","$2a$10$mwHAp2SKVwxQypySZd9/8e1ZPYNa357/FdXgVy4EMoSCeNObZ84YK","student","Chan Davy","female","CMS100226"
"lim.davy.8e@school.edu","$2a$10$2devIHnDBuGESk49..a46.VMkflZt6VwPc13dZnQ.xhB7QE2syuKe","student","Lim Davy","male","CMS100227"
"keo.davy.8f@school.edu","$2a$10$Nd5DU2qajXkxB/jHqmuRzOvivrigJTbJu3Iz4vuNhIHYH4vl1mbK6","student","Keo Davy","female","CMS100228"
"phan.davy.8a@school.edu","$2a$10$Oqk4h4CTjYkeW4THOHeCJuJyFblQzEfwicnihvN47iHunypRLiq3S","student","Phan Davy","male","CMS100229"
"meas.davy.8b@school.edu","$2a$10$RqBi7KvEAgGDls/R8VEK9u0CJfm5caa.3acq3Ajf8WwPGhgjd6yqi","student","Meas Davy","female","CMS100230"
"ouk.davy.8c@school.edu","$2a$10$a/IiLECfP7IQ2FlCGRUgruP8pUIIU9tf17qMTH7Ydm9KXU1XYFz1C","student","Ouk Davy","male","CMS100231"
"chhim.davy.8d@school.edu","$2a$10$7cmE56UkMbiAZj1JG70F6uNfCSX6.gTZipPzeBLFvacQqjOzGBvFa","student","Chhim Davy","female","CMS100232"
"yin.davy.8e@school.edu","$2a$10$L1PYQYmz/kohpt7ZKn3foeDisfHZs1fLOfXh2yaGk2Pz2mEKEHmka","student","Yin Davy","male","CMS100233"
"touch.davy.8f@school.edu","$2a$10$8yv0z3WeE.EyPKTaanfBmuTteEAv4SorQMQbtkeLP.iYIcymdapuC","student","Touch Davy","female","CMS100234"
"ngov.davy.8a@school.edu","$2a$10$ef09WRyWFGET1Baxlg4nE.WTKkp7VG8GhvhFyAru5y4EjYNiukUIm","student","Ngov Davy","male","CMS100235"
"suon.davy.8b@school.edu","$2a$10$EsKjseCYtYDAbWvT1VLtnORvuQfGm7EOokFu4MfaaBoHk9jCkv.G.","student","Suon Davy","female","CMS100236"
"prak.davy.8c@school.edu","$2a$10$z723GUTDnnm80PZDH2jETedaxC/cgtjkWBKd7B9Gm6SrtLSUiRSTS","student","Prak Davy","male","CMS100237"
"kim.davy.8d@school.edu","$2a$10$CXC0PjUmjt.OsRIl32HjQO1LYnxOmmrRSSuwa4L3g1XkdO0.sywGu","student","Kim Davy","female","CMS100238"
"chhay.davy.8e@school.edu","$2a$10$GGEq5c7leYszwSFv1g5bXuIKXz0YOOzz3cjW8Sx7SkW4BKxdGzB5u","student","Chhay Davy","male","CMS100239"
"nou.davy.8f@school.edu","$2a$10$2tIHwY8ZPizleocc0fc7Fucm.HgPb0CsLlAXWEQl0Q7DBqFqFIiHm","student","Nou Davy","female","CMS100240"
"heng.davy.8a@school.edu","$2a$10$Ai2H.RJXCa6anIXlDrOsHOJ8RmfuQTL5hfp4Tt3n9t8D2ZwkVslNO","student","Heng Davy","male","CMS100241"
"pen.davy.8b@school.edu","$2a$10$ZgeHNxxvxFns/2GqFCMfuu3fPVPHiNF6QWX3WPINTVhaVa0wslR/y","student","Pen Davy","female","CMS100242"
"sam.davy.8c@school.edu","$2a$10$9./cIitAsYsK6XHmElDo9.SRGtevWCMcVAkWx7H.g7D3He53tOiOa","student","Sam Davy","male","CMS100243"
"korng.davy.8d@school.edu","$2a$10$mJTEwpRb4.zmokMf5I9oLe5MUtoHC5JmgQKBq0kEt.ZQesrk8Snpy","student","Korng Davy","female","CMS100244"
"ros.davy.8e@school.edu","$2a$10$aK/p5f/JAR.soj2tYD/nVeY9hBOvso1XA5lh94OngpUPNK3TSzJ3e","student","Ros Davy","male","CMS100245"
"chin.davy.8f@school.edu","$2a$10$CB3bKIVmnAVVE0XxcAsbxenoS9pi2qjL5SSiPslW4q9HQ/BwoNUWe","student","Chin Davy","female","CMS100246"
"mao.davy.8a@school.edu","$2a$10$6BatQzHY3QSZew9pzNLqfe77hZG702zQ7SrAGu8iFANcBwOIY4shy","student","Mao Davy","male","CMS100247"
"lay.davy.8b@school.edu","$2a$10$BkPX4u4sZwSg6ClKtwmiKOqWPATRrsQnVm3.ZrFMaIDfm0CejlBZi","student","Lay Davy","female","CMS100248"
"vannak.davy.8c@school.edu","$2a$10$1HC4futuDL1/Hh04oTekMeA4BIHP78SbgZuYLdOepqJH0StIUO6Zu","student","Vannak Davy","male","CMS100249"
"sreypov.davy.8d@school.edu","$2a$10$VVs5w9DXd.C.KnH/Ye4fEuGvnThv0x4RSPohR1o4zZxohf7mDmV9O","student","Sreypov Davy","female","CMS100250"
"rith.davy.8e@school.edu","$2a$10$zRp7nUVdgZjGodS4yKgfIu5VEJJcemVlEyGHjvA.ikPwqWYmTWH8y","student","Rith Davy","male","CMS100251"
"borey.davy.8f@school.edu","$2a$10$SChUVHSkJb7sg5iYkcsR/e7uLeh/NfNbBPudp8OPKywIb80ov0YmO","student","Borey Davy","female","CMS100252"
"visal.davy.8a@school.edu","$2a$10$SRFH.4TS03/hQm65.bAxqupyjILoOy.9GEMSv4Olu8oMyMo8Pgpem","student","Visal Davy","male","CMS100253"
"malis.davy.8b@school.edu","$2a$10$WxVgwMC93WtDQ8YSF5LxiOTDSlWb/a.MNzGQqGt2nXeY69AvYELPu","student","Malis Davy","female","CMS100254"
"rattanak.davy.8c@school.edu","$2a$10$dThDRsgaVUyu96u/Y8ERHO5qIv5oqBUUm582xUpPWgbxeK9ejdG8S","student","Rattanak Davy","male","CMS100255"
"sothea.davy.8d@school.edu","$2a$10$/nl6WgwS7ppXKB1fNtDq4.RaNGPbJpPuXwJsnDu79Zf9fNTkkEwPK","student","Sothea Davy","female","CMS100256"
"sok.sothea.8e@school.edu","$2a$10$VUP83M2rMAMmRL8XhgCfvO5FvZQyU3kBVkPnIYCS4owGH.57CDR0q","student","Sok Sothea","male","CMS100257"
"chan.sothea.8f@school.edu","$2a$10$vWYz/c7pXhVk0a3qpKdvQuZCy9GuD4N/dK.b/RMwX4GkCmHiNVb.S","student","Chan Sothea","female","CMS100258"
"lim.sothea.8a@school.edu","$2a$10$zfWg./XZd1Qwflr7OKXZWe/VZzIgB5xbPljiAbWvHVOiBjLbIJQPO","student","Lim Sothea","male","CMS100259"
"keo.sothea.8b@school.edu","$2a$10$TUYFvv7CfzDN.yvTPmVqrOq0xJTvsM1.NRNaE4z36f9uuCsz85c4i","student","Keo Sothea","female","CMS100260"
"phan.sothea.8c@school.edu","$2a$10$.wsj5ezyRNFvn2ccwC5XPu/5qE/Y1E2Bcon.GHx8F7ajbQfHmsUmS","student","Phan Sothea","male","CMS100261"
"meas.sothea.8d@school.edu","$2a$10$uAacns2dylgfmeTfuunN3OeWWWR3UElxrlVZsQopUzanfmzRN5rFy","student","Meas Sothea","female","CMS100262"
"ouk.sothea.8e@school.edu","$2a$10$IwEMRMDGuC2aiHY4hMhchOlr1sOOgDEb23bvwLVAZlX8FJ17tf1w6","student","Ouk Sothea","male","CMS100263"
"chhim.sothea.8f@school.edu","$2a$10$7RCuk60010L75XS8iKh0MuK8ipaNX/fkUImSM0sTBAVc3oKRPLoHG","student","Chhim Sothea","female","CMS100264"
"yin.sothea.8a@school.edu","$2a$10$SMKpoFUY3oXDJUb88Buuxu/f46kgiVb3JrRODgc0RdLT/IOVM0kKi","student","Yin Sothea","male","CMS100265"
"touch.sothea.8b@school.edu","$2a$10$fv8RI14GgZ9C6rycIH9ohu8kbGGpkm6MDcyZGe6zZE5cmed.DeRKS","student","Touch Sothea","female","CMS100266"
"ngov.sothea.8c@school.edu","$2a$10$LRkh.hi4Rab/8hGa4vEqQ.tNGRG8xU7MS4HK4N3L8lkZTrKJrjq/y","student","Ngov Sothea","male","CMS100267"
"suon.sothea.8d@school.edu","$2a$10$0GDFhF9gw1pUuPR5YuRICO/z09lcvWcdeDzTJ2X5aNMJBrc8kiHe.","student","Suon Sothea","female","CMS100268"
"prak.sothea.8e@school.edu","$2a$10$DkX0yehnkhmBQ.jxjJnSGu02eJbS69PQc5R2chm2WpMKnQARa4tpi","student","Prak Sothea","male","CMS100269"
"kim.sothea.8f@school.edu","$2a$10$tX.ULQImZFvS/Ga.HlfjDuWMV0SFs0Rym.1Y/1OtY76PWS3zvapaC","student","Kim Sothea","female","CMS100270"
"chhay.sothea.8a@school.edu","$2a$10$E32cirYlDzqraLKeV/7WEen9xtSgiI7MUvrUEUmRgWq.ThvNjymc2","student","Chhay Sothea","male","CMS100271"
"nou.sothea.8b@school.edu","$2a$10$b3w48ot9X9etqcQQWqK5oOnZLJR.B/7QU/42quFwBiujlrEIqDIVm","student","Nou Sothea","female","CMS100272"
"heng.sothea.8c@school.edu","$2a$10$2OkbUAg.tPat69nDxmLa0Ouhb9675zyC/iqFZo33cYng55wL.mW5O","student","Heng Sothea","male","CMS100273"
"pen.sothea.8d@school.edu","$2a$10$e2DJiVSItbsctDnEP8s2Euyjlome.HK.Dw8NFzUpVuTJWzoSOcZ4a","student","Pen Sothea","female","CMS100274"
"sam.sothea.8e@school.edu","$2a$10$o2Hx5JBxBz8LNgoKFzQI5.UcXP0W./n2I55dK7Jv1QqP0aZy0iSOC","student","Sam Sothea","male","CMS100275"
"korng.sothea.8f@school.edu","$2a$10$Vw.OEsPmhOqyc/o2FEw/reFWrree97oskupBN42MN38pFLN/DS1dm","student","Korng Sothea","female","CMS100276"
"ros.sothea.8a@school.edu","$2a$10$aqtPhMAFNMhi4yBV.GgH3epf.3pN7QFqB3u1AqcKs6ICjXp1sDeoC","student","Ros Sothea","male","CMS100277"
"chin.sothea.8b@school.edu","$2a$10$5WkrfCnYSsMPQ5Nj8d0PI.oCmu.rVll4dxZXYkkDenTxUtUTueYU2","student","Chin Sothea","female","CMS100278"
"mao.sothea.8c@school.edu","$2a$10$CAiQAfgq3iwnv2OPy.zGyeXDK12y1XpeXnD0OziPeFHG7LQmBr.He","student","Mao Sothea","male","CMS100279"
"lay.sothea.8d@school.edu","$2a$10$t5rPVJTUeRRpD7F2GG5.D.XGHBza7hrxhA3yXqTdwU/pnMFWwB7zC","student","Lay Sothea","female","CMS100280"
"vannak.sothea.8e@school.edu","$2a$10$.5N3vLeRQ/MyCdeFo8dZOOIM1g5ZCiTYgRCQAbWFTqUMqc/9T/y7e","student","Vannak Sothea","male","CMS100281"
"sreypov.sothea.8f@school.edu","$2a$10$nhFMa8wTLOnIPUvTIdbT/.I.2SA6TQCJfHZanVuEpx3bNk.uKhBdO","student","Sreypov Sothea","female","CMS100282"
"rith.sothea.8a@school.edu","$2a$10$4zOxU/6rEW.Ir1Z5Pv1dY.74fgtIKIdnzeAHgvE7fow3vFIpS2m46","student","Rith Sothea","male","CMS100283"
"borey.sothea.8b@school.edu","$2a$10$ijyTywkjZcHS64y42lsqmO.ADhF5xtTaEkkk7w8xvB2515NYuRRGK","student","Borey Sothea","female","CMS100284"
"visal.sothea.8c@school.edu","$2a$10$tLX4UJULOw6h5NvTSpksme94BUW7.KDS686YF.32PqvxfRTwA/nCu","student","Visal Sothea","male","CMS100285"
"malis.sothea.8d@school.edu","$2a$10$y0IZkQQwy.lskRtuvWeR3eNjJStbS86tFjNfXvWJOy.opg0FqjqOu","student","Malis Sothea","female","CMS100286"
"rattanak.sothea.8e@school.edu","$2a$10$mhYxD.5bvhNnOfyq87if8eAqC6vvMx.hwBBgvdlS6CnA/ie.lRMgq","student","Rattanak Sothea","male","CMS100287"
"sothea.sothea.8f@school.edu","$2a$10$7iXMwRLGgleeHy4mjAkR5uZtk/Z3XUWNqEeeXfwjF5IgKX2l42hDG","student","Sothea Sothea","female","CMS100288"
"sok.bopha.8a@school.edu","$2a$10$q4YW1dtCDOxtgoF.ESFJ9OFwQvw/lrf8pvyCSRcKKdDeOUvHt5FSO","student","Sok Bopha","male","CMS100289"
"chan.bopha.8b@school.edu","$2a$10$vRRKA6cE.cSUhnwKI7RkMOZngkKtPJMhxRWUb1Mn85kBpzyBYKKB2","student","Chan Bopha","female","CMS100290"
"lim.bopha.8c@school.edu","$2a$10$/uk5/hD7V9iTM9BxKwN.geBuY7S2nNZK3R1.7QzE..NSGfLWn46KK","student","Lim Bopha","male","CMS100291"
"keo.bopha.8d@school.edu","$2a$10$ZaTg9gKkZdgTReT5AeTQXOxde0hJjjB96ZvGoLdfIYuyJDRyAy3m6","student","Keo Bopha","female","CMS100292"
"phan.bopha.8e@school.edu","$2a$10$BPu9Sh6ObUDaiQt5TYjTGu2ziSXUK5trMCIEc0E3BgWNlFyDaXgNC","student","Phan Bopha","male","CMS100293"
"meas.bopha.8f@school.edu","$2a$10$yuy6WRTBpWmJJr2IMCUhWu4Zz3XQt87.6ah8NdAJ.aFgCOgfwy2Gi","student","Meas Bopha","female","CMS100294"
"ouk.bopha.8a@school.edu","$2a$10$b8GeyVQ0jNYpSguIQMTEC.B9OEuca0Q3US/Jx1zF1wPF.615oJ1Ny","student","Ouk Bopha","male","CMS100295"
"chhim.bopha.8b@school.edu","$2a$10$4lQ5ZRa0MY6Pzo4GYWqzWuuZzjloDUP9uAWsLG8OgjBva76OHsHFm","student","Chhim Bopha","female","CMS100296"
"yin.bopha.8c@school.edu","$2a$10$uI9iadL0/fooHrRSTY6EE.SWzOdJ3N84LZgfD3WvgWC2TEn3CeKIO","student","Yin Bopha","male","CMS100297"
"touch.bopha.8d@school.edu","$2a$10$X8.JFrsybU5xfIGjmkpnA.SQFSwjGmNXwSSnXqhHyQemBvtnYNIOG","student","Touch Bopha","female","CMS100298"
"ngov.bopha.8e@school.edu","$2a$10$uBeYJPw5qrNBL43yzOdH7O7gfgaNjZC5Vjmy59p1SAaNTr.7J8Ppe","student","Ngov Bopha","male","CMS100299"
